Name,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Age
Hyundai i10 Era,60000,Petrol,Manual,2,19.81,1086,68.05,5,2650.0,9
Toyota Fortuner 4x2 Manual,73500,Diesel,Manual,1,13.0,2982,168.5,7,22000.0,6
Mercedes-Benz E-Class 230 E AT,28888,Petrol,Automatic,1,10.0,2496,157.7,5,7560.0,12
Volkswagen Polo Petrol Trendline 1.2L,41000,Petrol,Manual,1,16.47,1198,73.9,5,3100.0,9
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,52000,Diesel,Automatic,1,15.68,1999,177.0,5,42000.0,5
Ford Ecosport 1.5 DV5 MT Titanium Optional,65000,Diesel,Manual,1,22.7,1498,89.84,5,5100.0,8
Hyundai Grand i10 SportZ Edition,50000,Petrol,Manual,1,18.9,1197,81.86,5,4750.0,6
BMW 5 Series 2003-2012 540i Sedan,48000,Petrol,Automatic,2,11.62,2979,306.0,5,6990.0,15
Land Rover Range Rover HSE Dynamic,49275,Diesel,Automatic,1,12.7,2179,187.7,5,45640.0,4
Mahindra XUV500 W8 2WD,43000,Diesel,Manual,1,16.0,2179,140.0,7,7000.0,8
BMW 5 Series 2007-2010 525d Sedan,49000,Diesel,Automatic,2,16.73,2495,218.0,5,15500.0,9
Maruti Wagon R AMT VXI,8500,Petrol,Automatic,1,20.51,998,67.0,5,4220.0,5
Mahindra Scorpio S6 Plus 7 Seater,32000,Diesel,Manual,1,15.4,2179,120.0,7,9750.0,5
Volkswagen Vento Diesel Highline,51100,Diesel,Manual,1,20.54,1598,103.6,5,3400.0,10
Audi A6 2.7 TDI,112719,Diesel,Automatic,1,12.4,2698,179.5,5,11500.0,10
Hyundai i20 Asta Option 1.2,58620,Petrol,Manual,1,18.6,1197,81.83,5,7140.0,4
Honda City i VTEC SV,38424,Petrol,Manual,1,17.8,1497,117.3,5,7510.0,4
Hyundai Verna 1.6 SX VTVT (O),49000,Petrol,Manual,1,17.1,1591,121.3,5,4500.0,8
Hyundai Creta 1.6 SX Plus Petrol Automatic,21363,Petrol,Automatic,1,13.0,1591,121.3,5,13490.0,4
Maruti Ertiga ZDI,59000,Diesel,Manual,1,20.77,1248,88.8,7,7500.0,6
Maruti Swift VDI,35000,Diesel,Manual,1,22.9,1248,74.0,5,5250.0,7
Hyundai i10 Magna Optional 1.1L,80400,Petrol,Manual,1,16.0,1086,66.7,5,2300.0,13
Maruti Dzire VDI,68434,Diesel,Manual,1,28.4,1248,73.75,5,5500.0,8
Toyota Fortuner 3.0 Diesel,146300,Diesel,Manual,1,11.5,2982,171.0,7,12250.0,10
Honda City i VTEC SV,54257,Petrol,Manual,1,17.4,1497,117.3,5,6250.0,7
Hyundai Grand i10 1.2 Kappa Asta,10000,Petrol,Manual,1,18.9,1197,81.86,5,6500.0,3
Volkswagen Vento Diesel Comfortline,52400,Diesel,Manual,1,20.54,1598,103.6,5,5360.0,7
Toyota Innova Crysta 2.4 VX MT,25121,Diesel,Manual,1,13.68,2393,147.8,7,17110.0,5
Maruti Eeco 7 Seater Standard,34669,Petrol,Manual,1,15.1,1196,73.0,7,2900.0,7
Toyota Innova 2.5 V Diesel 8-seater,112000,Diesel,Manual,1,12.8,2494,102.0,8,12000.0,8
Mahindra XUV500 W8 2WD,67000,Diesel,Manual,2,15.1,2179,140.0,7,7200.0,7
Nissan Terrano XL Plus 85 PS,60000,Diesel,Manual,1,20.45,1461,83.8,5,6000.0,7
Toyota Fortuner 4x4 MT,74000,Diesel,Manual,2,12.55,2982,168.5,7,17900.0,8
Skoda Fabia 1.2 MPI Classic,61000,Petrol,Manual,2,17.5,1198,70.0,5,1650.0,13
Maruti 800 DX BSII,32000,Petrol,Manual,1,16.1,796,37.0,4,900.0,12
Honda Brio V MT,65167,Petrol,Manual,1,19.4,1198,86.8,5,3280.0,9
Maruti Swift VXI BSIV,80010,Petrol,Manual,2,20.4,1197,81.8,5,2850.0,15
Hyundai i20 Asta 1.2,17560,Petrol,Manual,1,18.6,1197,81.83,5,7210.0,5
Skoda Superb Elegance 1.8 TSI MT,136000,Petrol,Manual,1,13.1,1798,157.75,5,9500.0,7
Nissan Terrano XV 110 PS,103788,Diesel,Manual,1,19.01,1461,108.5,5,5670.0,7
Hyundai Accent GLE,50000,Petrol,Manual,1,13.2,1495,94.0,5,700.0,16
Volkswagen Vento Diesel Comfortline,75000,Diesel,Manual,3,20.54,1598,103.6,5,3500.0,9
Mercedes-Benz R-Class R350 4Matic Long,45710,Petrol,Automatic,1,11.8,3498,272.0,7,23680.0,7
Audi Q5 2008-2012 2.0 TDI,12467,Diesel,Automatic,1,12.8,1968,167.6,5,25640.0,8
Hyundai Verna 1.6 SX CRDi (O),45000,Diesel,Manual,1,22.32,1582,126.32,5,6250.0,9
Hyundai i20 1.4 Sportz,32251,Diesel,Manual,1,22.54,1396,88.73,5,8610.0,2
Audi A6 3.0 TDI quattro,52830,Diesel,Automatic,2,16.77,2967,241.38,5,8080.0,12
Maruti Ritz VDi,77400,Diesel,Manual,1,21.1,1248,73.9,5,2500.0,10
Mahindra Scorpio S10 4WD,120000,Diesel,Manual,1,15.4,2179,120.0,7,12000.0,6
Skoda Superb Elegance 1.8 TSI AT,56674,Petrol,Automatic,1,13.7,1798,157.75,5,14050.0,5
Maruti Alto LXi,68000,Petrol,Manual,1,19.7,796,46.3,5,1500.0,15
BMW 3 Series 320d,25000,Diesel,Automatic,1,22.69,1995,190.0,5,17990.0,8
Honda City i VTEC VX Option,42000,Petrol,Manual,1,17.8,1497,117.3,5,9250.0,5
Nissan Sunny 2011-2014 Diesel XV,70000,Diesel,Manual,1,21.64,1461,84.8,5,2590.0,9
Renault Duster 110PS Diesel RxZ AMT,42646,Diesel,Automatic,1,19.6,1461,108.45,5,12460.0,4
Chevrolet Enjoy 1.3 TCDi LTZ 8,57934,Diesel,Manual,1,18.2,1248,73.74,8,5500.0,6
Nissan Sunny 2011-2014 Diesel XL,87982,Diesel,Manual,1,21.64,1461,84.8,5,5000.0,9
Toyota Innova 2.5 G4 Diesel 8-seater,65000,Diesel,Manual,1,12.8,2494,102.0,8,6400.0,10
Hyundai i20 Sportz 1.4 CRDi,60000,Diesel,Manual,1,21.9,1396,88.76,5,5450.0,8
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,47000,Diesel,Automatic,1,15.97,2993,258.0,7,41500.0,7
BMW X3 xDrive 20d xLine,36723,Diesel,Automatic,1,18.56,1995,190.0,5,32570.0,4
Maruti Wagon R LXI CNG,72000,CNG,Manual,1,26.6,998,58.16,5,1750.0,11
Maruti Wagon R LXI,21002,Petrol,Manual,1,22.5,998,67.04,5,2750.0,11
Maruti Swift Dzire VXI,18000,Petrol,Manual,1,19.1,1197,85.8,5,4400.0,5
Mahindra XUV500 W10 1.99 mHawk,24569,Diesel,Manual,1,16.0,1997,140.0,7,13500.0,5
Renault Duster 85PS Diesel RxL,60000,Diesel,Manual,1,19.87,1461,83.8,5,8000.0,5
Mahindra Scorpio SLE BSIV,45239,Diesel,Manual,1,12.05,2179,120.0,8,7090.0,7
BMW 5 Series 530d M Sport,58000,Diesel,Automatic,1,18.59,2993,265.0,5,11750.0,11
Maruti Swift ZXI,49000,Petrol,Manual,1,18.6,1197,85.8,5,4450.0,8
Ford Fiesta 1.4 Duratorq ZXI,112808,Diesel,Manual,2,17.8,1399,68.0,5,2050.0,14
Maruti Alto LXi BSIII,35000,Petrol,Manual,1,19.7,796,46.3,5,1700.0,12
BMW 3 Series 320i Sedan,70749,Petrol,Automatic,1,12.05,1995,154.0,5,9860.0,11
Hyundai i20 Sportz Option,17858,Petrol,Manual,1,17.0,1197,80.0,5,5320.0,7
Ford Endeavour 3.2 Titanium AT 4X4,54650,Diesel,Automatic,1,10.91,3198,197.0,7,30350.0,4
Ford EcoSport 1.5 TDCi Titanium,72563,Diesel,Manual,2,22.77,1498,98.59,5,5000.0,7
Maruti S Cross DDiS 200 Alpha,58000,Diesel,Manual,1,23.65,1248,88.5,5,7900.0,5
Hyundai i10 Sportz,47003,Petrol,Manual,1,20.36,1197,78.9,5,3670.0,7
Hyundai Verna CRDi 1.6 SX,96578,Diesel,Manual,1,22.0,1582,126.2,5,2500.0,13
Mercedes-Benz E-Class E 220 d,85000,Diesel,Automatic,1,16.1,1950,194.0,5,21000.0,8
Hyundai i20 1.2 Magna Executive,17431,Petrol,Manual,1,18.6,1197,81.83,5,6000.0,4
Chevrolet Optra 1.6 LT Royale,55176,Petrol,Manual,2,17.4,1599,104.0,5,3470.0,8
Hyundai Xcent 1.2 Kappa AT SX Option,59800,Petrol,Automatic,1,16.9,1197,82.0,5,5800.0,6
Maruti Dzire AMT VXI,42000,Petrol,Automatic,1,22.0,1197,81.8,5,5500.0,4
Skoda Laura Elegance 2.0 TDI CR AT,72202,Diesel,Automatic,1,20.0,1968,138.1,5,9060.0,8
Audi A4 1.8 TFSI,38001,Petrol,Automatic,1,12.3,1781,163.2,5,8500.0,11
Ford Endeavour 2.5L 4X2 MT,68022,Diesel,Manual,1,13.1,2499,141.0,7,5860.0,10
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,156056,Diesel,Manual,1,12.8,2494,102.0,8,8500.0,12
Maruti Ciaz 1.4 AT Alpha,32000,Petrol,Automatic,1,19.12,1373,91.1,5,9200.0,4
BMW X1 sDrive20d,82002,Diesel,Automatic,1,17.05,1995,184.0,5,18500.0,7
Maruti Swift Dzire VDi,48000,Diesel,Manual,1,19.3,1248,73.9,5,3700.0,9
Maruti Swift Dzire VDI,131000,Diesel,Manual,1,26.59,1248,74.0,5,3600.0,6
Maruti Alto 800 VXI,26000,Petrol,Manual,1,22.74,796,47.3,5,2600.0,5
BMW 3 Series 320d Luxury Line,37613,Diesel,Automatic,1,22.69,1995,190.0,5,13950.0,8
Maruti Wagon R VXI,16956,Petrol,Manual,1,22.5,998,67.04,5,3600.0,5
